booking_id,customer_id,hotel_id,room_id,check_in_date,check_out_date,booking_date,status
400,118,204,301,2023-03-31,2023-04-05,2023-03-26,Completed
401,111,202,311,2023-12-23,2023-12-27,2023-12-18,Cancelled
402,109,203,310,2023-10-03,2023-10-05,2023-09-28,Cancelled
403,104,201,302,2023-10-12,2023-10-14,2023-10-07,Cancelled
404,109,201,306,2023-11-02,2023-11-07,2023-10-28,Completed
405,113,201,306,2023-04-04,2023-04-09,2023-03-30,Cancelled
406,117,201,309,2023-05-14,2023-05-15,2023-05-09,Completed
407,107,204,311,2023-09-20,2023-09-24,2023-09-15,Booked
408,104,201,306,2023-01-11,2023-01-12,2023-01-06,Cancelled
409,115,201,306,2023-12-23,2023-12-26,2023-12-18,Booked
410,109,203,302,2023-06-01,2023-06-02,2023-05-27,Booked
411,114,202,301,2023-01-27,2023-01-29,2023-01-22,Booked
412,104,202,302,2023-04-03,2023-04-08,2023-03-29,Cancelled
413,104,204,310,2024-02-19,2024-02-21,2024-02-14,Cancelled
414,116,201,304,2023-01-31,2023-02-02,2023-01-26,Booked
415,109,204,302,2023-12-11,2023-12-16,2023-12-06,Completed
416,101,202,312,2023-02-16,2023-02-19,2023-02-11,Completed
417,116,202,304,2023-10-23,2023-10-28,2023-10-18,Booked
418,111,203,309,2023-12-11,2023-12-14,2023-12-06,Booked
419,109,204,301,2023-02-23,2023-02-25,2023-02-18,Booked
420,114,203,311,2023-01-28,2023-01-31,2023-01-23,Booked
421,118,201,309,2023-09-19,2023-09-24,2023-09-14,Cancelled
422,105,204,303,2023-03-17,2023-03-21,2023-03-12,Cancelled
423,110,202,304,2023-11-25,2023-11-28,2023-11-20,Completed
424,100,201,301,2023-11-26,2023-11-30,2023-11-21,Cancelled
425,105,204,305,2023-03-14,2023-03-19,2023-03-09,Completed
426,119,201,308,2023-08-03,2023-08-07,2023-07-29,Completed
427,103,203,301,2023-01-12,2023-01-14,2023-01-07,Cancelled
428,112,204,302,2023-06-08,2023-06-09,2023-06-03,Completed
429,108,204,309,2023-09-17,2023-09-18,2023-09-12,Booked
430,105,201,310,2024-02-24,2024-02-29,2024-02-19,Completed
431,100,203,304,2023-09-27,2023-09-28,2023-09-22,Booked
432,110,202,302,2023-11-18,2023-11-19,2023-11-13,Cancelled
433,110,202,304,2023-07-05,2023-07-09,2023-06-30,Completed
434,117,202,308,2024-02-01,2024-02-03,2024-01-27,Booked
435,103,201,302,2023-11-25,2023-11-26,2023-11-20,Cancelled
436,102,203,311,2023-07-08,2023-07-12,2023-07-03,Cancelled
437,120,203,301,2023-06-08,2023-06-09,2023-06-03,Booked
438,106,204,305,2023-09-29,2023-10-04,2023-09-24,Completed
439,111,203,306,2023-04-03,2023-04-04,2023-03-29,Booked
440,102,203,301,2024-02-15,2024-02-16,2024-02-10,Cancelled
441,112,202,310,2023-03-11,2023-03-14,2023-03-06,Completed
442,107,203,305,2023-12-03,2023-12-07,2023-11-28,Booked
443,120,204,302,2023-02-06,2023-02-08,2023-02-01,Booked
444,106,204,308,2023-07-31,2023-08-02,2023-07-26,Completed
445,118,203,309,2023-08-26,2023-08-28,2023-08-21,Completed
446,118,201,302,2023-07-08,2023-07-12,2023-07-03,Booked
447,114,204,312,2023-11-20,2023-11-22,2023-11-15,Booked
448,111,203,305,2023-11-01,2023-11-04,2023-10-27,Completed
449,106,201,311,2023-08-22,2023-08-26,2023-08-17,Cancelled
450,116,201,308,2023-04-07,2023-04-08,2023-04-02,Completed
